Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Bil-Doktoren ;Lyshaugveien 132;1825;TOMTER;BILVERKSTED01;970357017
RYDNINGEN, JOHANNES;BØMLAVEGEN 61;5437;FINNÅS;LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG;911726750
NAF Senter Kristiansund;Verkstedveien 9;6517;Kristiansund N;KONTROLLORGAN01;987372540
JØLSTER BIL AS;SKEI I JØLSTER;6843;SKEI I JØLSTER;BILVERKSTED01B, KONTROLLORGAN01B, LYSUTSTYR;880365002
Erik Arnesen Bryn AS;Nils Hansens vei 7 B;667;OSLO;BILVERKSTED01, KONTROLLORGAN01;976547551
Handicare AS, avd. Tønsberg;Kilengt. 1;3117;TØNSBERG;PABYGGER;965395830
FERMANN SERVICE AS;VÆRVEIEN 39;9770;MEHAMN;KONTROLLORGAN01, BILVERKSTED01;981575954
RYDS BILGLASS KRISTIANSAND;INDUSTRIGATA 12;4632;KRISTIANSAND S;BILGLASS;913387783
NOR-KA AS avd. OSLO;Karihaugveien 102;1086;OSLO;PABYGGER;984589824
FÅVANG DEKK OG BILSERVICE AS;TROMSNESVEGEN 37;2634;FÅVANG;BILVERKSTED01, KONTROLLORGAN01;917072744
OMNIA BILOMBYGGING AS;MIDTUNLIA 17;5224;NESTTUN;BILVERKSTED01, PABYGGER;917063141
SENTRUM BILVERKSTED A/S;Øran Vest;6300;Åndalsnes;BILVERKSTED01B, KONTROLLORGAN01B;845693722
BMK Sevice ANS;Hovengensgate 8;3915;Porsgrunn;BILVERKSTED01;974674963
Motor Forum AS;Yttersøveien 1;3255;LARVIK;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;937698917
Asbjørns Bilverksted AS;Moen;4790;Lillesand;BILVERKSTED01B, KONTROLLORGAN01B;995618915
ADHD MOTOR AS;LEITEBAKKEN 21;6055;GODØYA;HJUL;911639173
Hardanger Bil A/S;Sjusetevegen 4;5610;ØYSTESE;BILVERKSTED01, KONTROLLORGAN01;947926349
CARGLASS AS AVD DAL;Vognveien 10;2072;DAL;BILGLASS;921373600
JONS DEKK & FELG AS;VALLERMYRVEGEN 30;3917;PORSGRUNN;HJUL;985553645
VALLESVERD BILFORRETNING A/S;MJÅVANNSVN 31;4628;KR.SAND;BILVERKSTED01;918619070
KORSEN AUTOSERVICE STEIN ATLE KNUTSEN;ORKDALSVEIEN 3;7391;RENNEBU;HJUL;914876443
B. Johansen Bilservice;Sjyveien 1;9372;Gibostad;BILVERKSTED01;980155498
Bildeler Porsgrunn AS;Hydrovegen 1C;3933;Porsgrunn;BILVERKSTED01, KONTROLLORGAN01;983452221
Nor-In Bruktbil og Sveis;Bjerkåsveien 1;1391;VOLLEN;BILVERKSTED01, KONTROLLORGAN01;957552633
IVERSEN SERVICE SENTER;VARNEVEGEN 2;4275;SÆVELANDSVIK;HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, EKSOSANLEGG, BILVERKSTED01;996312410
Albjerk Bil AS, Lier;RINGERIKSVN. 5;3400;LIER;BILVERKSTED01B, KONTROLLORGAN01B;983222838
Nordkapp Bilservice AS;Nordkappveien 80;9750;HONNINGSVÅG;BILVERKSTED01B, KONTROLLORGAN01B;981519965
Utbjoe Auto AS;Skotabergvegen 2;5411;STORD;BILVERKSTED01, KONTROLLORGAN01;989838474
Orkdal Bilskade AS;Tiltaksvegen 23;7300;ORKANGER;BILSKADE;993568074
KJELLER VEST AUTO AS;KJELLER VEST 1;2007;KJELLER;KONTROLLORGAN01, BILVERKSTED01;920669441
SUNDE AUTO AS;Oldenleirane;6788;OLDEN;BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01, BILVERKSTED01B;945138874
RAKKESTAD BIL & SERVICE AS;Sagveien 5;1890;Rakkestad;BILVERKSTED01B, BILSKADE, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;991056424
Haldor Tveitan Bilverksted;Opdalsveien 167;3748;SILJAN;BILVERKSTED01;970157808
SNEFRID PETTERSEN;POLMAKVEIEN 1448;9845;TANA;HENGERESPALOPSBREMSEANLEGG, HJUL;952895877
Kasin Bilverksted;Hagaliavegen 21;3677;NOTODDEN;BILVERKSTED01, KONTROLLORGAN01;996219739
ØKERN DEKKSENTER AS;ØKERNVEIEN 148;580;OSLO;HJUL;813055392
Stord Bil og Dekksenter AS;Vabakkjen 3;5411;STORD;BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B;973194380
FANA BILVERKSTED A/S;Fanavegen 15;5221;NESTTUN;BILVERKSTED01, KONTROLLORGAN01;951835285
Trondheim Bilservice Syd AS;Ivar Lykkes Veg 9;7075;TILLER;BILVERKSTED01, KONTROLLORGAN01;997215761
BULK BILSKADESERVICE ROMERIKE AS;ASMYRSVINGEN 1;2022;GJERDRUM;BILSKADE;920440908
Bønes Auto;Dyngelandsvegen 32;5226;NESTTUN;BILVERKSTED01, MOTORSYKKELOGMOPED;981949730
DEKKPROFF AS avd. Porsgrunn;EIKELIA 11;3943;PORSGRUNN;HJUL;916725558
NORDVIK AS;Vikaveien 50;8200;FAUSKE;BILVERKSTED01B, KONTROLLORGAN01;946549770
Vognteknikk AS;Kokstadflaten 32;5257;Kokstad;PABYGGER;987354747
HOVRUD AUTO AS;OSLOVEGEN 400;2920;LEIRA I VALDRES;KONTROLLORGAN01, BILVERKSTED01;915255604
Elverum Last og Buss AS ;Svartbekkvegen 74;2406;ELVERUM;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;982357373
Hagen og Tveit Karosseri AS;Tjønnevold;4700;VENNESSLA;BILVERKSTED01, KONTROLLORGAN01;913809874
RSA Bil Drammen;Øvre Eikerv.77;3048;DRAMMEN;FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE, ALKOLASVERKSTED;915518389
KOPERVIK BIL AS;VESTHEIMVEGEN 4;4250;KOPERVIK;HJUL;913976002
KROGHS BILSALG AS;Bedriftsveien 6;950;OSLO;BILVERKSTED01;934276043
AURLAND BIL OG MASKIN AS;Onstadvegen 5;5745;AURLAND;KONTROLLORGAN01B, BILVERKSTED01B;976506480
Norsk Scania AS avd. Kristiansand;Barstølveien 14;4634;KRISTIANSAND S;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03;879263662
SENTRUM BILSERVICE NAMSOS AS;Pinavegen 2;7800;Namsos;BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B;981897013
STEINSLAND MEK VERKSTED AS;HÆGELANDSSLETTA 77;4720;HÆGELAND;PABYGGER;990858195
Vandsvik Mek Verksted AS;  Nesset 96 ;7629;YTTERØY;BILVERKSTEDALLE, KONTROLLORGAN04;986571655
DEKKHEIM V/ SVEIN ARNULF NORDAL;NORDVIKA;6140;SYVDE;HJUL;894853492
A. Rugland Bilverksted;Breimyra 14;4344;BRYNE;BILVERKSTED01, KONTROLLORGAN01;991528652
SKJØRSTAD BIL AS;Flatan 28;7629;Ytterøy;BILVERKSTED01B, KONTROLLORGAN01B;943635706
CARGLASS AS;SNARØYVEIEN 46;1360;FORNEBU;BILGLASS;985758220
Nye Car Craft AS;Østre Rosten 4A;7075;TILLER;BILVERKSTED01B, KONTROLLORGAN01B;913022726
Hillestad Traktorservice AS;Hafslo;6869;HAFSLO;TRAKTOR;989695967
Lauvstad Bil Notodden AS;Semsvegen 37;3676;NOTODDEN;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;968005154
Bilskade & Lakk Hammerfest AS;Fjordaveien 28;9610;RYPEFJORD;BILSKADE;992564288
Ingebrigt Dalset bilverksted;Rødven;6350;Eidsbygda;BILVERKSTED01B, TRAKTOR;959662010
LOMEN AUTO AS;TYINVEGEN 3032;2967;LOMEN;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;919776242
Os Auto AS ;Jordmorsvingen 4;5200;Os;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01, BILSKADE;988470643
Øystese Mek. Verkstad AS;Lundanes 2;5610;ØYSTESE;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;966912456
DEKKMESTEREN AS avd. Høvik;Ramstadsletta 24;1363;HØVIK;HJUL;999325882
Landbruk og Transportservice AS;Strandveien 20;9050;STORSTEINNES;BILVERKSTEDALLE;992852585
BRACO AS;GAMLE DRAMMENSVEI 102;3420;LIERSKOGEN;PABYGGER;911179458
A-K Maskiner AS, avdeling Gjøvik;Thomasdalen 9;2818;GJØVIK;TRAKTOR;946468037
Motorsyklisten AS;Svartadalen 1;5412;STORD;MOTORSYKKELOGMOPED;933458032
Funnemark AS, avd Seljord;Brøløsvegen 1;3840;SELJORD;BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE;911876493
Polarsirkelen videregående skole;Murbakken 1;8622;MO I RANA;BILVERKSTED01, KONTROLLORGAN01;974621304
DEKKTEAM AS avd. Tromsø;Skattøravegen 50;9018;TROMSØ;HJUL;870897332
Brdr. Ellefsens Eftf. AS ;Kranveien 58 B;4950;Risør;BILVERKSTED01B, KONTROLLORGAN01B;994705407
Mobile Larvik  AS;Løkka 21;3271;LARVIK;BILVERKSTED01, KONTROLLORGAN01;997253701
JÆGER  Automobil as;Kanalveien 111;5068;BERGEN;BILSKADE, BILVERKSTED01, KONTROLLORGAN01;839280882
Norsk Scania A/S, avd. Stranda;Morkevegen, Svemorka;6200;Stranda;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;879263662
Dimmelsvik Bil A.S;OMVIKDALSVEGEN 65;5464;DIMMELSVIK;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;979459114
SANDEFJORD KOMMUNE;Bekkeveien 12 ;3236;SANDEFJORD;BILVERKSTED01B, KONTROLLORGAN01B;916882807
VOSS OLJE AS;STRANDAVEGEN 62;5705;VOSS;HJUL;990026483
LANGHUS BIL OG KAROSSERI AS;BERGHAGAN 8;1405;LANGHUS;BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B;998397618
PARK OG KOMBIMASKINER AS;PROFESSOR SMITHS ALLE 48;3048;DRAMMEN;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;986540024
DEKKMESTEREN AS avd Enebakk;Landskaugveien 50;1914;YTRE ENEBAKK;HJUL;999325882
Bertel O. Steen Vestfold AS, avd Sandefjord;Skolmar 20;3232;SANDEFJORD;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED;918707565
LAVIK MASKINSENTER AS;LAVIK;6947;LAVIK;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;916167636
FRYDENBØ BILSKADE AS, avd. Minde;MINDE ALLÉ 35;5068;BERGEN;BILSKADE;921903677
NORDSALTEN SENTRALVERKSTED AS;STØMSNES;8260;INNHAVET;BILVERKSTED01, KONTROLLORGAN01;916235887
Ouroms Auto ANS;Hamarveien 263;2406;ELVERUM;BILVERKSTED01, KONTROLLORGAN01;986473114
Forus Bilverksted AS;Koppholen 19;4313;SANDNES;BILVERKSTED01B, KONTROLLORGAN01B;985704570
MANTENA AS;Osloveien 101;7018;TRONDHEIM;BILDIESEL;984040849
ODAL GUMMISERVICE AS;STUBBEN 4;2120;SAGSTUA;HJUL;997897196
KLART DET! UTLEIE AS;NANSETGATA 144;3271;LARVIK;HENGERESPALOPSBREMSEANLEGG;995172151
SOLA TURBUSSER OG SOLA SERVICENTER ANS;FLYPLASSVEGEN 215;4055;SOLA;HJUL;917585741
STEINSPRUTEN BILGLASS AS AVD STABEKK;Professor Kohtsvei 83;1368;STABEKK;BILGLASS;997719670
BÅTSFJORD BILSENTER AS;VALEN 3;9990;BÅTSFJORD;HJUL;989107674
Lakk1 AS;Snekkerveien 2;8610;MO I RANA;BILSKADE;999619223
Porsche Center Oslo AS;Ryenstubben 7-9;679;OSLO;BILVERKSTED01, KONTROLLORGAN01;977365422
BERTEL O. STEEN ØSTFOLD AS avd. Moss Personbil;Ryggeveien 83;1522;Moss;BILVERKSTED01, KONTROLLORGAN01;915281168
Jørns Bil og Brems AS;Østre Aker vei 68;581;Oslo;BILVERKSTED01, KONTROLLORGAN01;996549089
TRAKTORSERVICE AS;HUSØYNVEGEN 11;3550;GOL;TRAKTOR;955487222
INTERDEKK AS;HOVEMOVEGEN 35;2624;LILLEHAMMER;HJUL, HENGERESPALOPSBREMSEANLEGG;981509234
Eik Senteret Rykene ;Presteveien 36;4821;RYKENE;TRAKTOR;935465389
Stranda Bil AS;Stranda;6200;STRANDA;BILVERKSTED01, KONTROLLORGAN01;993057819
HAUGLAND DEKKSENTER AS;ØYGARDSVEGEN 2;5576;ØVRE VATS;HJUL;817148522
Volmax As avd. Skien Buss;Rabbenkroken 19;3740;SKIEN;BILVERKSTED03, ALKOLASVERKSTED;984674104
Einar Flakk Verksted AS ;Lille Heimdal ;4760;Birkeland;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;917421781
ASBJØRN GOBERG AS;Porsgrunnsveien 125;3735;SKIEN;BILVERKSTED01B, KONTROLLORGAN01B;912022544
MADLA BILPLEIE & BILVASK AS;HILLEVÅGSVEIEN 100;4016;STAVANGER;HJUL;916137699
KVITESEID GLASSERVICE AS;MIDTSUNDVEGEN 13A;3850;KVITESEID;BILGLASS;915535135
OSLO BILOPPRETTING OG LAKKERING DANUTA JUSTYNA PAPROT;KLOPPAVEIEN 16;1472;FJELLHAMAR;BILSKADE;817805302
Thord Paulsen AS;Tyssedalsvegen 9;5750;ODDA;BILVERKSTED01B, KONTROLLORGAN01B;980864979
Høylandet Auto AS avd. Namsos;Sivavegen 6;7820;Spillum;BILVERKSTED01, KONTROLLORGAN01;912924424
DekkTeam AS Avd. Alnabru;Breivollveien 27;668;OSLO;HJULUTRUSTNING;870897332
Bøgh Hafsø Bilforretning A/S;Fossveien 3;4370;Egersund;BILVERKSTED01, KONTROLLORGAN01;983072178
Sandberg Auto AS;Løxaveien 5;1351;RUD;BILVERKSTED01, KONTROLLORGAN01;988720801
JOMA INDUSTRISERVICE AS;JOMA;7898;LIMINGEN;BILVERKSTED01B;976585186
LAKKPROFFEN AS;RUNNIVEGEN 25;2150;ÅRNES;HJUL, BILGLASS, BILSKADE, LYSUTSTYR;988924512
Mickelson Karosseri Elverum AS;Torolf Storsveensveg 18;2406;ELVERUM;BILSKADE;892639922
S.T AUTOSALG SAMIR THAQI;KIRKEVEGEN 55;4055;SOLA;HJUL;917675619
APEX AUTO AS;HAUKANESVEGEN 91;5652;ÅRLAND;KONTROLLORGAN01, BILVERKSTED01;919062150
BERGH'S BIL OG KAROSSERI AS;Semsmoveien 139;3302;HOKKSUND;BILVERKSTED01B, KONTROLLORGAN01B;915299652
SKOLMAR BIL AS;Skolmar 17;3232;SANDEFJORD;BILVERKSTED01, KONTROLLORGAN01;994191071
Bilverksted AS;Ravnangervegen 187A;5308;KLEPPESTØ;BILVERKSTED01B, KONTROLLORGAN01B;974538210
Gunnar og Inges Bilservice as;Verksvegen 1;7725;Steinkjer;BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B;987313706
BERGHEIM AUTOSERVICE AS;SPIKARMOEN 22;2900;FAGERNES;BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR;997831381
BODAHL-JOHANSEN AS avd FREDRIKSTAD;RÅBEKKSVINGEN 2;1617;FREDRIKSTAD;HJUL;965308032
Store Norske Spitsbergen Grubekompani AS avd. Svea;;9175;SVEAGRUVA;BILVERKSTED01;984015097
Lian's caravan & Fritid AS;Andslimoen;9326;BARDUFOSS;BILVERKSTED01B, KONTROLLORGAN01B;990946205
TRUCKSENTER AS;FORUSBEEN 17;4031;STAVANGER;PABYGGER, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTED01;918111808
Brankos`Auto a/s;Kjærlighetsstien 29;3112;Tønsberg;BILVERKSTED01B, KONTROLLORGAN01;933256014
Toyota Sulland Kongsvinger AS;Industrivegen 39;2202;Kongsvinger;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;929035445
Flisa bil AS;Negardsvegen 8;2270;Flisa;BILVERKSTED01B, KONTROLLORGAN01B;836634152
VOGN-SERVICE A/S;Sarpsborgveien 417;1658;TORP;BILVERKSTED03, KONTROLLORGAN03;821523842
Unibus AS avd. Rosenholm;Rosenholmveien 40;1414;TROLLÅSEN;BILVERKSTEDALLE, KONTROLLORGAN04;985615616
Norsk Scania AS, avd Namsos;Industrivn. 8;7820;SPILLUM;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN03;879263662
Team Verksted Øst  AS, avd. Hadeland;Jarenvegen 65;2770;JAREN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;989460072
Bilskade Forum DA;Alf Kristoffersensvei 7;1396;Billingstad;BILSKADE;986117636
Skab Norge AS;Bølerveien 40;2016;FROGNER;PABYGGER;971069295
Engebakken Transport A/S;Stensrudveien 10;2335;Stange;PABYGGER;951484148
ESPEN & EDDIES BILVERKSTED AS;RABEKKGATA 4;1523;MOSS;BILVERKSTED01;915007244
Buskerud Bilservice AS;Strandveien 29;3050;MJØNDALEN;BILVERKSTED01;913156234
Altombil AS;Øyjordveien 53;8517;NARVIK;BILVERKSTED01B, KONTROLLORGAN01B;997275764
Agder Karosseri AS;Grøm Næringspark 15;4887;GRIMSTAD;BILVERKSTED01, KONTROLLORGAN01;913079221
Skoger Bilsenter AS;Meieribakken 4B;3074;SANDE I VESTFOLD;KONTROLLORGAN01, BILVERKSTED01, BILSKADE;919472987
Westrum Karosseri  AS;Gjerluvegen 84;2320;FURNES;BILSKADE;995500892
Maskinservice. Morten Møll;Kverndalsveien 52;4519;HOLUM;BILVERKSTED01, MOTORSYKKELOGMOPED;913499573
Lakkservice AS;Markveien 3;1738;BORGENHAUGEN;BILSKADE;958768168
STORSLETT AUTO AS;SENTRUM 33;9151;STORSLETT;KONTROLLORGAN01B, HJUL, EKSOSANLEGG, BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, LYSUTSTYR, BILGLASS, ALKOLASVERKSTED;914283698
CARGLASS AS;Pindsleveien 8 - Sandefjord;3221;SANDEFJORD;BILGLASS;985758220
MOSS GLASS OG BILPLEIE AS;SOLSETERVEIEN 13;1533;MOSS;BILGLASS;998450403
Autoteam AS ;Totlandsveien 8;5224;NESTTUN;BILVERKSTED01, KONTROLLORGAN01;983033652
Norsk Scania AS Avd Kongsvinger;Gaupeveien 1;2206;Kongsvinger;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;879263662
FANA DEKKSENTER AS;FANAVEGEN 15;5221;NESTTUN;HJUL;997726669
DEKK OG DELER AS avd. Voss;Istadvegen 22;5709;VOSS;HJUL;996430022
Toyota Østfold & Follo AS  avd. Sarpsborg og Halden;Sundløkkaveien 71;1659;Borgenhaugen;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;983650791
M.R AUTOHAWK AS;KAKKELOVNSKROKEN 2;954;OSLO;HJUL;920319297
MURBIL A/S;Strandgata 23;6150;Ørsta;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01;914433460
NORDLAND BILOPPHUGGING AS;FOLLAVEIEN 90;8208;FAUSKE;HJUL;967679038
Lye Bil AS;Prestegårdsmarka 1;4340;BRYNE;BILVERKSTED01, KONTROLLORGAN01;988720461
Nordalen Landbruksservice;Mølslet;7170;ÅFJORD;PABYGGER, TRAKTOR;971058129
MÅNDALEN SERVICESENTER AS;VOLL;6386;MÅNDALEN;HJUL;947847481
SULLAND VERDAL AS;Hamnevegen 1;7652;VERDAL;BILVERKSTED01B, KONTROLLORGAN01B;977235855
NTB AUTOSENTERET AS;Vikhammerløkka;7560;VIKHAMMER;BILVERKSTED01, KONTROLLORGAN01;919083050
Hurtigruta Carglass AS, avd. Asker;Alfheim 7, Grindergården;1387;ASKER;BILGLASS;985758220
GUNNARSRUD BIL & CARAVAN;Ing. Rybergsgt. 99;3027;DRAMMEN;BILSKADE;913329155
OmniService AS;Furuveien 8;1356;BEKKESTUA;BILVERKSTED03, KONTROLLORGAN03;919424001
STEENES TILHENGER & INDUSTRISERVICE;BIRKEDALSVEIEN 68C;4640;SØGNE;HENGERESPALOPSBREMSEANLEGG;920316336
Tinn Billag AS;Såheimsveien 3;3660;Rjukan;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01B;916765886
HERMANSVERK SERVICESENTER AS;SOGNEFJORDVEGEN 30;6863;LEIKANGER;BILVERKSTED01, KONTROLLORGAN01;979729049
Bulder  Verksted AS, verksted Berger;Bølerveien 92;2020;Skedsmokorset;BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER;993026352
Bilsenteret Namsos AS;Sivavegen 4;7820;SPILLUM;BILVERKSTED01B, KONTROLLORGAN01B;976097904
Car & Cycle Harstad AS;Mercurveien 29;9408;HARSTAD;BILSKADE;988790710
AUTOMARIN AS;Askvollvegen 412;6980;ASKVOLL;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, EKSOSANLEGG, BILGLASS, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, HJUL;952819283
Møller Bil Gjøvik AS ;Ringveien 10;2816;GJØVIK;BILVERKSTED01B, KONTROLLORGAN01B;919781491
Hagen Bil AS;Bakkevegen 2;2827;HUNNDALEN;BILVERKSTED01B, KONTROLLORGAN01B;974388030
FILTVET AUTO;Bjørnstadveien 1;3480;FILTVET;BILVERKSTED01, KONTROLLORGAN01;943469237
Hillevåg Bilverksted AS;Hillevågsveien 102 ;4016;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;993165204
Autosenteret Løten AS;Dalstuvegen 1;2340;LØTEN;BILVERKSTED01, KONTROLLORGAN01;913406931
Alex Autoservice AS;Vollsveien 74;1358;JAR;BILVERKSTED01, KONTROLLORGAN01;990050244
Toyota Ramstad Bil A/S avd Askim;Sagveien 1;1814;Askim;BILVERKSTED01, KONTROLLORGAN01;987586087
Team Verksted FOLLO AS;Snipetjernveien 1;1405;LANGHUS;KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER;980908186
Mobile Åsane AS;Liavegen 12;5132;NYBORG;BILVERKSTED01, KONTROLLORGAN01;979383924
Mechtech Ensjø;Brobekkveien 100;582;OSLO;BILVERKSTED01, KONTROLLORGAN01;995795485
AS ELVERUM KAROSSERIVERKSTED;Jernbanegata 7 A;2406;ELVERUM;BILSKADE;911422662
Grorud Bilservice A/S;Østre Aker vei 217;976;OSLO;BILVERKSTED01, KONTROLLORGAN01;965879617
Frosta Bilverksted AS;Skaret;7633;FROSTA;BILVERKSTED01, KONTROLLORGAN01;993954810
Vianor AS avd. Drammen;Lierstranda 56;3400;LIER;BILVERKSTED01, KONTROLLORGAN01;935429447
CARGLASS AS, avdeling Tromsø;Stakkevollvegen 27;9010;TROMSØ;BILGLASS;985758220
Erling Winje A/S;Industriveien 9 b;6517;KRISTIANSUND N;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;981138872
Klokkergårdveien Bilservice AS;Klokkegårdveien 6;1711;SARPSBORG;BILVERKSTED01, KONTROLLORGAN01;914187540
DOMBÅS BIL AS;Kyrkjevegn 2;2660;DOMBÅS;BILVERKSTED01, KONTROLLORGAN01;983632939
MYMECHANIC AS;TERMINALEN 1;7080;HEIMDAL;BILVERKSTED01B, KONTROLLORGAN01B;987996773
Eides Bensinstasjon;Klostervegen 136;5455;Halsenøy Kloster;BILVERKSTED01;947063960
Bøler Autoverksted AS;Bølerlia 1;691;OSLO;BILVERKSTED01;979443625
Bilsenteret Stavanger AS;Hillevågsveien 103;4016;STAVANGER;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;967819085
SKAUMA MEK INGE ASBJØRN SKAMFER;SKAUMA BRU;7391;RENNEBU;HJUL, HENGERESPALOPSBREMSEANLEGG, BILGLASS;919739606
FAGERNES VERKSTEDSENTER AS;SPIKARMOEN 13;2900;FAGERNES;KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER;920127347
Felleskjøpet Agri SA avd. Tynset;Tomtegata 4;2500;TYNSET;TRAKTOR;911608103
DROLSUM BIL OG TRAKTOR;Ringeriksveien;3370;VIKERSUND;BILVERKSTED01, KONTROLLORGAN01;969086166
OPPDAL AUTO AS;Nordre Industrivegen 90;7340;OPPDAL;HJUL;912040917
BØGEBERGS BILOPPRETTING;Vigdalsvegen 61;7350;BUVIKA;BILSKADE;970406492
ALLSUPERMOTO AS;FORUSPARKEN 3;4031;STAVANGER;MOTORSYKKELOGMOPED;915137423
Starco Norge AS avd. Ålesund;Gangstøvikvegen 72;6009;ÅLESUND;HJUL;919560886
BILHUSET MIDTBYN   AS;Kjøpmannsgt. 41;7011;TRONDHEIM;BILVERKSTED01, KONTROLLORGAN01;880501712
Bil i Nord AS avd. Sortland;Verkstedveien 3;8400;SORTLAND;BILVERKSTED01, KONTROLLORGAN01;983666280
SKJELVIK BILVERKSTED A/S;Skjelvik;6490;Eide;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;947388940
DM AutoMek AS;Tørdalsvn 25;3750;DRANGEDAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;974496143
Felleskjøpet Agri SA avd. Oppdal;Dovreveien 13;7340;OPPDAL;TRAKTOR;911608103
SKAUN BENSINSTASJON M HUSBY;SKAUN;7357;SKAUN;HJUL;923976272
HH Bilskade AS;Nedre Hagavei 15;2150;ÅRNES;BILSKADE;991211128
Sulland Kongsvinger AS;Oslovegen ;2212;KONGSVINGER;BILVERKSTED01B, KONTROLLORGAN01B;953331896
ENOKSEN TRAKTORSERVICE AS;AA;8485;DVERBERG;HJUL;946821144
DRAMMEN KAROSSERI AS;Støperigata 7c;3036;DRAMMEN;BILSKADE;958540655
Biltrend Harstad AS;Stangnesterminalen 2C;9409;HARSTAD;BILVERKSTED01, KONTROLLORGAN01;888064842
Trucknor Sogn og Fjordane AS avd. Sandane;Åsavegen 159;6823;SANDANE;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;888545972
EUROBIL AS;TRONDHEIMSVEIEN 436B;962;OSLO;BILVERKSTED01B, KONTROLLORGAN01B;984070934
Baastad Bil Hans Joar Baastad;Stiklaveien 3;1866;Båstad;BILVERKSTED01, KONTROLLORGAN01;976894820
GLASSMESTER BLOMQUIST ANS;SVERRES GATE 17;3257;LARVIK;BILGLASS;955529464
Traktorservice AS;Husøyvegen 11;3550;GOL;BILVERKSTED01B;955487222
Dalane Bil A/S;Fossveien 2;4370;EGERSUND;BILVERKSTED01, KONTROLLORGAN01;939187677
Lassen Auto AS;Bedriftsveien 96;3735;SKIEN;BILVERKSTED01, KONTROLLORGAN01;968389556
FRØYA TRANSPORTSENTER AS;Hamarvik Næringspark;7263;HAMARVIK;HJUL;986242392
Marnarbil A/S;Bue;4534;Marnardal;BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01;818531982
ALLEEN AUTO AS Avd Flekkefjord;Sundegaten 3;4400;FLEKKEFJORD;KONTROLLORGAN01, BILVERKSTED01;886313462
KÅSA & RINGHUS ENTREPRENØR AS;DALSVEGEN 32;3890;VINJE;HJUL;891336802
Nordvik AS avd. Svolvær;Sivert Nilsensgate 43;8300;Svolvær;BILVERKSTED01, KONTROLLORGAN01;946549770
Nettby Bilsenter AS;STRANDVEIEN 29;3050;MJØNDALEN;BILVERKSTED01, KONTROLLORGAN01;918003398
INSTEK AS;Mårvegen 6;2211;KONGSVINGER;FARTSSKRIVER;950089970
